firm_name,website_url,organic_traffic,organic_traffic_rank,keywords_top10,keywords_top10_rank,domain_rating,domain_rating_rank,referring_domains,referring_domains_rank,mobile_speed,desktop_speed,google_rating,total_reviews,one_star_last_3_months,keyword1_name,keyword1_traffic,keyword1_rank,keyword2_name,keyword2_traffic,keyword2_rank,keyword3_name,keyword3_traffic,keyword3_rank,keyword4_name,keyword4_traffic,keyword4_rank,keyword5_name,keyword5_traffic,keyword5_rank,review1_text,review1_date,review1_reviewer,review2_text,review2_date,review2_reviewer,review3_text,review3_date,review3_reviewer
Lawfty,lawfty.com,673,67,48,77,19,65,157,82,33,67,4.5,308,2,lawfty law,256,1,lawfty,208,1,lawfty law,11,10,police report an accident,9,3,lawfty,6,1,"March 19, 2025 I spoke with an individual from Lawfty Law who sent over paperwork for me to grant them rights to proceed with my case. Physical therapy has been completed and I have heard nothing more from my supposed attorney, Harry Max. When dialing the number to reach ""anyone"", the calls are dropped and/or disconnected. I've attempted to contact the firm through their website to no avail. I'm truly beginning to believe that this is a scam and needs to be reported if so.",2025-06-30T17:18:49.331Z,Rorena Suell,"I am a client with Lawfty law and I am not pleased with my case that involves my 3 children and I. My attorney Richard does not communicate very well I have to keep calling to get an update and to get emails about my case it’s coming up on 2 years August 1 that my children and I have been in this accident I and do not feel that my case is being treated in a way where it’s consistent communication. I have received my settlement for myself months ago and still have yet to receive my other 3 children’s settlement I have asked to speak with a supervisor over top of my attorney to push the issues I have with my case and I have yet to hear anything from anyone going on a week I think better communication would help in my case and proper official documents would help because I was told so many different things about the settlements and changes to the settlements which I wasn’t pleased I just need some communication and to be directed to someone over top of my attorney so that I can get the settlements owe, also when calling the firm once you push an option the phone hangs up I would like to know how can I get this case resolved in a timely fashion so that my case will over.",2025-05-08T13:13:08.446Z,Janee Foreman,,,
Lawrence & Associates,lawrencelaws.com,3203,33,648,23,27,42,585,31,71,93,4.7,441,2,lawrence and associates,96,1,law associates,96,1,lawrence and associates,51,1,deposition science,48,1,lawrence and associates,31,1,,2025-07-08T21:37:50.546Z,Keith Siau,"Nada de lo que dice la página Web es cierto, llame y no tienen de los 3 servicios dos para mi se llevan una mala reseña",2025-05-20T12:53:05.091Z,Ramón Guzmán Alemañy,,,
Lerner and Rowe,lernerandrowe.com,50815,5,2227,5,67,1,2451,3,91,95,4.7,5255,21,lerner and rowe,6480,1,lerner and rowe injury attorneys,5280,1,lerner rowe,800,1,lerner & rowe,576,1,glen lerner,576,1,"When I called looking for an attorney, Jesse Cervantes wasted no time to tell me I was a lost cause. He didn’t listen to me or my alleged victim and told me that his firm couldn’t handle a disorderly conduct misdemeanor. Avoid these people by any means",2025-07-29T04:00:08.267Z,Aysha Boykin,"Got in a car crash. Lerner and Rowe didn’t do much except set me with physical therapy who wanted to do an epidural before physical therapy. I pushed for physical therapy and when I had 2 family members die and missed the PT appointments, Lerner and Rowe dropped me and put a 3K lien on the insurance claim from the insurance company and a 2K lien for PT. It’s a formula, they get the most money they can from you and don’t give care about their clients. Now I’m left to deal the other insurance company on my own, which hasn’t been that bad.
 
 Update to your response. None of your time line makes any sense. Here is a screenshot of a message left by Swift Institute cancelling an appointment with me on September 18th. Over 2 weeks after you said you contacted them on 8/26/24 and you said I had cancelled my appointments.",2025-07-23T22:02:07.272Z,Daniel Langi,No lo recomiendo ….,2025-07-17T13:15:46.081Z,Rigoberto Sanchez
Levin & Perconti,levinperconti.com,54443,4,4048,1,55,5,1634,7,64,92,4.7,594,1,medical malpractice lawyer,8208,1,medical malpractice attorney,6720,1,medical malpractice lawyers,5505,1,septic shock,3575,1,how long does it take to die from sepsis,2389,2,"Honestly, they didn’t even hear my story correctly and they just told me they can’t help me. They never called me. They never checked in to see what was the concern. Horrible To get in touch with them do not recommend this law firm at all. And like I told him on a message things happen for a reason because I got a lawyer local to me because these guys are just advertising Everywhere … not to mention how bad they are trying to get information… thank you, Mickey Mouse law firm",2025-07-03T16:07:36.177Z,JCFLO 19,,,,,,
Lionhart Injury Law,lionhartlaw.com,16,97,1,103,2.8,98,66,103,95,97,5,9,0,boston motorcycle accident attorney,0,97,boston slip & fall lawyer,0,84,boston wrongful death law firm,0,18,dog bite massachusetts,0,57,dog bite attorney atlanta,0,69,,,,,,,,,
Mama Justice,mamajustice.com,6757,22,463,28,43,13,690,27,96,99,4.9,690,1,mama justice,1920,1,lawyers in tupelo ms,178,1,memphis car wreck attorney,178,1,momma justice,168,1,mama justice nudes,168,1,,2025-06-16T14:54:56.066Z,Sharonda Squeaky Clean Services,,,,,,
Mancini Law Group,mancinilaw.com,218,81,25,81,16,70,186,77,33,55,4.8,319,0,mancini law group,208,1,mancini law group pc,56,1,chicago motorcycle accident attorney,21,4,mancini law office,17,1,mancini lawyer,12,1,,,,,,,,,
Mark L Karno and Associates,karnolaw.com,361,78,83,62,37,22,366,49,47,83,4.7,71,0,mark karno and associates,88,1,mark l karno & associates,72,1,mark l karno and associates,72,1,mark l. karno,72,1,mark karno,27,1,,,,,,,,,
"McCarthy, Rowden, Baker & Cannon",injurylawyerdecatur.com,115,86,12,89,0.2,114,68,100,63,99,4.9,98,0,attorneys in decatur il,12,7,decatur attorneys,7,6,personal injury lawyer decatur il,6,1,attorney decatur il,5,1,john cannon attorney,5,1,,,,,,,,,
Minner Vines Injury Lawyers,mvmlaw.com,5317,26,643,24,30,35,364,50,80,98,5,677,1,personal injury lawyer lexington ky,218,1,injury attorney lexington ky,218,1,accident lawyers lexington,178,1,personal injury attorney lexington,178,1,lexington car accident lawyer,178,1,1I would not recommend this firm due to a lack of communication and false hope. I was told all along the way that I was going to be taken care of but when! Called to check they said they could no longer represent me. I feel they told me what i needed to hear and was in no hurry to inform me they changed their stance in the matter.communicate,2025-05-12T17:50:59.223Z,Christina Hutchison,,,,,,
Mission Personal Injury Lawyers,missionlegalcenter.com,8812,16,1361,11,42,17,736,25,82,100,4.9,532,4,personal injury lawyer san diego,1091,1,injury lawyer in san diego,892,1,car accident attorney san diego,892,1,squirrel monkey,721,1,personal injury lawyer san diego ca,719,1,,2025-07-20T00:47:48.236Z,Lucinda Lamontagne,,2025-07-19T23:53:46.873Z,Michael Lee,"Told me I had a case, then dropped my case. Didn't even speak with the lawyer the whole time, only the Case Managers.",2025-06-26T21:03:42.803Z,Hayley Gardiner
Morris & Dewett,morrisdewett.com,8326,17,1376,10,28,41,374,46,48,94,5,2720,1,injury lawyer shreveport la,396,1,accident attorney in shreveport la,248,1,t bone accident,223,1,lawyers in shreveport,218,1,morris and dewett,208,1,,2025-07-02T06:59:27.311Z,Chris Haas,,,,,,
MR.LAW,mr.law,1168,59,73,69,26,49,287,58,34,69,4.9,226,0,lawsuit lawyers near me,196,1,civil attorney dallas,96,1,mathias raphael pllc,56,1,mr civil justice,34,1,construction accident law firm near me,27,1,,,,,,,,,
Munley Law - Scranton,munley.com,66705,2,2228,4,64,3,4258,1,73,63,4.6,391,2,truck accident lawyer,1776,6,wrongful death attorney,1215,6,workers compensation lawyer,993,4,truck accident attorney,972,3,munley law,800,1,"They make lots of promises and don’t come through with them. At the last moment I felt like they were paid off by the other party. I was told that I was looking at one million settlement and I was advised to settle for $132,000. Now 3 years later I am unable to walk let alone work. I now have no way to go back to help me now. I would not go with this company.",2025-07-15T14:49:00.906Z,Ronda Tyson,very very dishonest don't waste your time! foolish&no common sense!,2025-06-24T13:52:54.554Z,Rc,,,
Nguyen & Associates Injury Law Firm,nalawtx.com,29,95,2,97,10,81,245,65,73,91,4.9,407,1,nguyen law firm houston,9,2,nguyen and associates,2,3,nguyen lawyers,0,46,husain law and associates,0,55,houston car accident lawyer,0,58,I recommend no one hire them very unprofessional don't answer your calls the adjusters are not friendly not helpful esmerelda the lady on my case not helpful never meet Nguyen or even spoke to him draining me for my money don't hire them,2025-05-03T19:34:26.998Z,Danny Moore,,,,,,
Oliver Law Firm,oliverlawfirm.com,670,69,119,57,20,61,279,59,90,99,4.8,32,0,7th amendment,42,29,amendment 7 establishes the right to not be,32,1,semi truck turning radius,25,1,truck trailer turning radius,25,1,bailey and oliver law firm,24,1,,,,,,,,,
Onward Injury Law,onwardinjurylaw.com,1110,60,209,47,30,35,276,60,90,84,5,218,0,onward injury law,208,1,what is punitive damages,125,1,exemplary damages,77,1,punitive damages meaning,77,1,car insurance lawyer,77,1,,,,,,,,,
Pemberton Personal Injury Law Firm,pembertonpi.com,2062,45,71,70,20,61,262,62,51,54,5,887,1,pemberton personal injury law firm,168,1,car accident lawyer near me,111,13,personal injury lawyer madison,79,1,madison injury lawyers,79,1,injury lawyers madison,79,1,"My case is still ongoing but the communication and professionalism so far has been exceptional
 
 5.2025 - updated review to reflect current experience. I was asked to provide the previous review on New Years Eve 2024. I was excited to get a call thinking there was progress in my case, there wasn't. I wrote the review based off my experience at that time. Now that I am 6 months out from the first review and my case is still open, I find I was more optimistic about the services because of the exceptional care provided by Pemberton's support staff. Communication, empathy and action items have seemed to stop. I finally spoke to the attorney for the first time on my case in January/February, a year after I hired the firm. Once the demand package was sent, communications went quiet on their end. In attempts to stay connected with my case, I tried setting up regular calls and am consistently met with no news or ""I have a call into them"". I signed a retainer when I was coming home from the hospital, I was vulnerable and feared if I waited to hire a firm, evidence of my accident might be gone. I am disappointed that a year and a half later, there's still no movement and no sense of urgency. If I had to do it again, I'd ask more questions, set expectations and also have the retainer reviewed by another legal counsel. I am hoping for a positive turn and will update this review at the end of my experience.",2025-05-28T21:34:52.000Z,C Jendz,,,,,,
Phoenix Law Group,phoenixlg.net,30,94,8,91,0.8,112,70,99,88,92,5,22,0,phoenix law group,4,1,phoenix law,3,6,phoenix legal group,3,7,phoenix law group,1,2,protect artist,0,53,,,,,,,,,
Pikrallidas & Probasco,piklaw.com,709,66,121,54,8,84,211,72,unavailable,unavailable,4.7,73,0,pikrallidas & probasco,24,1,fairfax bicycle accident lawyers,9,1,accident lawyers in fairfax va,9,4,truck accident injury law firm virginia,5,8,is lane splitting legal in virginia,5,13,,,,,,,,,
Postman Law,postmanlaw.com,16,97,5,94,2.8,98,68,100,76,97,4.9,172,0,postman law,42,1,postman law,7,3,eagan personal injury lawyer,7,1,workers compensation attorney eagan,6,1,personal injury attorney eagan,5,1,,,,,,,,,
Powell Law Firm,sandpointlawoffice.com,378,77,5,94,3.6,94,161,80,41,71,4.9,76,0,sandpoint attorneys,14,1,powell attorney at law,11,1,sandpoint lawyers,11,1,attorney powell,9,1,lawyers in sandpoint idaho,7,1,,,,,,,,,
Ranz Injury Law,ranzlaw.com,420,75,51,75,20,61,177,78,59,57,5,132,0,personal injury attorney federal way,42,1,injury attorney federal way,13,1,car crash lawyers in federal way,13,1,car accident lawyer federal way,11,1,federal way car accident attorney,11,1,,,,,,,,,
"Rathbun, Cservenyak & Kozol",rcklawfirm.com,671,68,95,61,16,70,371,47,66,80,4.4,74,0,rathbun cservenyak & kozol llc,112,1,rck law firm,56,1,injury attorney naperville,17,6,injury lawyers joliet il,14,2,luis magana,14,1,,,,,,,,,
Rittgers Rittgers & Nakajima,rittgers.com,7127,20,1210,13,44,12,654,28,73,92,4.9,937,0,pi attorneys near me,295,1,cincinnati auto accident lawyer,218,1,personal injury lawyer cincinnati,218,1,top rated personal injury lawyers near me,178,1,rittgers rittgers & nakajima,168,1,,,,,,,,,
Riz Injury Law,rizinjurylaw.com,1,107,3,96,1.3,108,48,110,61,89,5,105,0,$riz,1,15,cpap lawsuit payout,0,71,chicago personal injury,0,88,chicago personal injury law,0,67,kidney cancer lawsuit,0,41,,,,,,,,,
Roberts Markland,robertsmarkland.com,2063,44,121,54,18,66,369,48,53,88,4.8,386,2,oil rig explosion,3240,7,oil rig explosion,1640,1,roberts markland,256,1,roberts markland llp,208,1,robert markland,88,1,"A friend of mine hired them for an injury case and they never filed the case and the statue of limitation ran out.
 This law firm is extremely incompetent and unprofessional.
 The attorneys kept giving my friend the run around instead of settling the case and they have refused to give her her paperwork.",2025-06-21T02:31:39.445Z,Goshen Toyo,"2/2025 Terrible communication. They dont return calls, they dont give updates. Ive been waiting almost two years for a payout. My accident was in oct 2023. Ive had two different case managers and when they switched over it seemed like the first person did not update the new person with what was going on with my case. I had to threaten to email a supervisor for my calls to be returned. I was told my money would be ready in two weeks. That was two months ago.
 
 Update: Although they did call and email me a document to sign maybe three days after my original review... It is now May 17, 2025 and I still have received nothing.",2025-05-17T14:23:21.870Z,Moneesha Lott,,,
Romano Law Group,romanolawgroup.com,475,73,70,71,27,42,331,54,61,70,4.9,113,1,romano law group,256,1,john romano,39,6,romano and romano law firm,34,1,2 florida,32,1,eric romano,27,1,Joseph Lee mislead me and should be brought up ethics charges with the Florida State Bar. His unwarranted advances left me feeling dirty and abused.,2025-06-29T19:51:58.463Z,Georgia Besos,,,,,,
"Salvi, Schostok & Pritchard",salvilaw.com,17383,10,1413,9,51,7,1656,6,96,99,4.9,262,0,medical negligence lawyers,541,1,malpractice attorneys,475,1,birth injury attorney,266,6,salvi schostok & pritchard,256,1,car crash lawyer,243,8,,,,,,,,,
Sam Aguiar Injury Lawyers,aguiarinjurylawyers.com,3963,31,649,22,27,42,902,17,35,62,4.9,849,0,sam aguiar,472,1,automobile accident attorney near me,343,4,sam aguiar injury lawyers,312,1,personal injury attorney louisville ky,248,1,car accident lawyer louisville ky,211,1,,,,,,,,,
Scott Vicknair Injury Lawyers,scottvicknair.com,1541,52,146,51,30,35,465,37,61,94,5,2490,1,scott vicknair perso,1280,1,scott vicknair,472,1,scott vicknair personal injury lawyers,472,1,scott vicknair law -,256,1,personal injury attorney new orleans,211,1,"The worst attorneys specifically hope Hugh’s . They never return calls . Never have time to talk to you !! All they try to do is get you to settle and take quick $$$$$$$$$. Big mistake if you use this group of attorneys ! If you read the reviews most are from family , friends and relatives that give 5 star ratings ! Don’t be fooled !",2025-05-10T07:57:23.273Z,Stan g,,,,,,
Serious Injury Law Group,seriouslawyers.com,7718,19,532,27,30,35,502,36,59,82,4.6,35,0,motorcycle accident attorney,343,4,serious lawyers for serious injuries,312,1,serious injury lawyers,256,1,serious injury law group,256,1,lawyers injured,243,3,,,,,,,,,
"Simon & Simon, PC",gosimon.com,7102,21,451,31,14,76,233,70,91,99,4.3,1918,21,simon and simon law firm,1040,1,simon and simon law,472,1,simon & simon law firm,472,1,simon & simon law firm philadelphia,472,1,simon and simon pc,384,1,"*Critical Alert:* Do not engage with Simon and Simon PC or Top Dog Law. These firms have a history of:
 - *Misleading clients*: They claim you qualify for help, but fail to deliver.
 - *Unprofessional conduct*: They may release you as a client without reason or assistance, often via email.
 
 *Protect Yourself:* Research and choose a reputable attorney or law firm to ensure you receive the best possible representation.
 
 *Recommended Action:* Avoid these firms at all costs and seek alternative legal assistance.",2025-07-29T17:37:29.232Z,Michael Robinson,Not recommended at all. All the good reviews don't have anyone liking them take a look at the negative reviews see how many people liked those. Goes to show you the positive reviews are made up. Get the report from the insurance company you are suing I guarantee you that you will find out so much like settlement offers that you would not have heard of if you didn't get the report there was even counter offers that I never gave consent im actually starting a legal malpractice claim against them there so much I could tell you but right now I am holding off to get into the details that potentially could close the firm down mite even be a class action lawsuit that will begin soon. Get the report from the insurance company go from there. I will be updating my review as this goes on,2025-07-29T12:48:09.336Z,Scott Ortasic,"Definitely wouldn't recommend these guys.
 
 I had 1 meeting before the trial.
 Deposition had a lawyer i never met before.
 Arbitration was a different lawyer I never met before.
 The trial...you guessed it a lawyer I never met before.
 
 The guy who hit me from behind car was total. You think they would bring the pictures of the accident. Nope found that out during the trial. Their expert witness is a guy who reads reports. I was so disgusted i walked out during the hearing.
 They also didn't bring all my receipts from my chiropractor. Which I ended up paying back for 3 years after that.
 
 I realized now I didn't have a chance because allstate knew these guys are not good. All allstate had to do is wait for these guys to do absolutely nothing.",2025-07-25T18:33:39.368Z,Cm and baggle M
Soroka & Associates,sorokalegal.com,1667,50,266,42,18,66,342,52,92,99,4.9,245,0,soroka and associates,208,1,soroka & associates llc,168,1,soroka & associates,88,1,is ohio open carry state,63,1,personal injury attorneys columbus ohio,59,1,,,,,,,,,
Stipe & Belote,stipeinjurylaw.com,1215,58,131,52,14,76,296,56,71,93,4.9,352,0,personal injury attorney oklahoma city,196,1,personal injury attorney oklahoma city,156,1,oklahoma personal injury lawyer,96,1,injury attorney oklahoma,96,1,oklahoma medical malpractice attorneys,79,1,,,,,,,,,
SWL Injury Lawyers,swlinjurylaw.com,183,82,17,87,2.9,97,83,95,66,82,5,188,0,swl injury lawyers,88,1,personal injury attorney kansas city ks,17,1,personal injury lawyer kansas city ks,6,1,josh leonard,6,3,blue springs motorcycle accident lawyer,5,1,,,,,,,,,
"Taxman, Pollock, Murray & Bekkerman",tpmblegal.com,11508,13,1230,12,33,30,547,34,69,81,4.9,289,2,work accident lawyer,712,1,seat belt,409,1,taxman pollock,256,1,chicago il personal injury lawyer,189,3,when did seatbelts become mandatory,123,3,"Jack S. Rubin is a rip off, all this time and money spent got me NO where. Over charges $160 just for an email, complete joke honestly. buyer beware...soent $18,749.11 dollars do get zero results!!!",2025-07-22T21:17:40.486Z,Susan Nowicki,Will not take my case it was a non at fault told me to look elsewhere very disappointed,2025-06-04T20:51:06.836Z,Lamar Wall,,,
The Baez Law Firm,baezlegal.com,27,96,20,84,6,87,71,97,74,97,5,135,1,jose baez,46,9,baez legal group,40,1,jose baez defense attorney,32,6,the bàez legal group,32,1,the baez legal group,32,1,"I was wrongly classified as a 1099 independent contractor despite working full-time hours under close supervision, using company equipment, and having no real independence in how or when I performed my work. This misclassification meant no benefits, no protections, and tax burdens that should not have been mine. It’s not just unfair—it’s illegal under IRS guidelines. I tried raising concerns but was ignored. Additionally, I have YET to be paid for work completed MONTHS ago. I urge others to be cautious and to know their rights before accepting any role here!!! And strongly urge to get everything in writing and to be extremely careful.",2025-06-28T04:07:17.006Z,Michelle Garcia,,,,,,
The Bussey Law Firm,thebusseylawfirm.com,1703,49,254,43,24,57,579,32,96,98,5,159,0,drug lawyer colorado springs,188,1,the bussey law firm,168,1,bussey law firm,88,1,tim bussey,72,1,criminal lawyer colorado springs,44,2,,,,,,,,,
The Cochran Firm,cochranfirm.com,35304,6,2739,2,52,6,3079,2,55,79,3.7,193,1,wrongful death lawyer,1417,2,the cochran firm,1280,1,cochran firm,1280,1,wrongful death attorney,1215,2,johnnie cochran law firm,1040,1,"If I knew what i know now in the beginning, I wouldve handled the case myself. The Firm asks for 33% but it was me that recieved Less than that",2025-06-26T20:39:55.733Z,Rosalynn,,,,,,
The Colbert Law Firm,crashatl.com,15,99,2,97,2.7,102,67,102,60,84,4.9,146,0,colbert law firm,27,1,the colbert law firm llc,24,1,colbert and colbert law firm,22,1,colbert law firm,7,2,colbert and colbert law firm,3,2,,,,,,,,,
The Collins Law Firm,collinslaw.com,2970,34,435,32,32,33,921,15,44,56,4.9,126,2,car accident lawyers near me,355,6,the collins law firm,208,1,civil lawsuit lawyers,196,1,collins law firm,178,1,pfa,165,13,"I specifically asked for a call back from the attorney the first rep kept saying we don't specialize in what your asking for, I repeatedly told them that I need to speak with an sttorney & I would appreciate if you didn't screen my call, he rudely hung up when I called back to file a complaint with a manager named Azura, she also screened the call & would not schedule a callback for the attorney to give me a consultation, even though a case number for the pending litigation was provided she still would not schedule a call back, she even said she had no access to the previous call & that's why she needed my information which was false. The info was provided & they both would not schedule the consultation.",2025-07-23T22:28:34.032Z,David Franks,"The answering company did not answer any of the questions pertaining the areas of law I needed counsel for, there was no reason why they are saying they don’t do criminal cases when I have a government matter that needs litigation which is advertised on the website & they still would not be able to answer the questions. They hung up 3x because they couldn’t respond to the questions with valid answers they just kept spewing out gibberish to make themselves be dismissive to why I’m calling & would not consult with an attorney before responding",2025-07-17T16:36:36.414Z,Tha GO'Rilla Administration,,,
The Deese Law Firm,deeselawfirm.com,8,100,2,97,8,84,96,92,74,99,4.9,63,0,tcpa lawyer near me,1,6,the consumer lawyers pllc,0,19,credit bureau lawyer,0,82,being sued by debt collector in texas,0,30,sued by debt collector in texas,0,29,,,,,,,,,
The Diaz Law Firm,diazlawfirm.com,120,85,19,86,26,49,328,55,73,98,5,170,0,medical malpractice lawyers in mississippi,27,1,malpractice attorneys in mississippi,27,1,mississippi personal injury attorney,22,1,diaz law firm,21,1,personal injury lawyer mississippi,18,1,,,,,,,,,
The Galvan Law Firm,crashteam.com,170,83,25,81,10,81,187,76,27,62,4.9,104,1,lawyer for motorcycle accident,442,1,lawyer for truck accident,360,1,truck crash lawyer,237,1,car crash law firm,237,1,car crash law,211,1,"I hired this law firm with high expectations based on their reputation and positive reviews, but my experience has been deeply disappointing. What was presented as a straightforward case turned into two and half years with lack of communication and lack of urgency. I had to personally step in and do the follow up work with my own health insurance provider-something the firm failed to do until the very end. Make sure to read the fine print contract and ask about all potential fees before signing. The $525 cost for a tool (EvenUp, Inc.) to streamline its own internal processes was shocking that was clearly for their own operational benefit. It was frustrating and underwhelming experience overall - not the level of professionalism I expected.",2025-05-08T15:22:58.043Z,Crystal V,,,,,,
The Gori Law Firm,gorilaw.com,2675,37,938,17,43,13,873,19,95,99,4.4,239,2,gori law firm,704,1,the gori law firm,208,1,asbestos lawsuit lawyers,196,1,asbestosis lawyers,196,1,asbestos lawyer,131,1,"Communication is not a strong point, apparently, of this firm. We have asked for more information and have heard crickets.",2025-06-12T21:46:14.347Z,Bill Murray,My Dad was diagnosed in 2020 and passed away in 2021. We had good faith in this law firm at that time. It is now 2025 and we haven’t received anything. My mom struggling to take care of her mom who is ill has been resending documents over and over. We send documents they lose them and tell us they the never received or they can’t find them is has been the story over and over since 2021. Unless something changes soon. I would not recommend this group to anyone. It doesn’t feel like they have our best interest in sight let alone at heart.,2025-06-11T13:26:14.748Z,Skincare Chronicles,,,
The Jaklitsch Law Group,jaklitschlawgroup.com,810,64,117,58,43,13,1094,11,56,91,4.8,260,1,car accident lawyer,271,15,jaklitsch law group,208,1,upper marlboro attorneys,79,1,lawyer upper marlboro md,64,1,upper marlboro lawyers,64,1,Worst lawyer I ever met due not deal with these ppl the paralegal rude an nasty they took my girlfriend case for at least 1 year negotiations which there no evidence of negotiation during a entire year no offer was made an Rick never communicated when leavin him messages there case statute for us moved in circles this weekend he drop the case off in the mail tlkn bout no insurance for the passenger who not responsible after sending us to therapy an my 4 year old got hurt N they didn’t even. Add him on the case they might hve experience but they treated us bad didn’t go to court for us or even ask for impact statement all bad dragged us for 2years in settlement for a entire year I repeat at ya own risk trust em now we hve find another attorney after all this stress,2025-05-26T18:28:14.481Z,Tre Caesar,,,,,,
The Julian C. Gomez Law Firm,jcglf.com,35,93,10,90,26,49,429,39,55,83,4.9,53,0,julian gomez,27,1,julian attorney,5,1,gomez law firm,4,10,multi-vehicle accident attorney,3,2,julian gomez,1,13,,,,,,,,,
The Law Office of Hunter A. Nunn,waranchnunn.com,1,107,1,103,2.8,98,66,103,56,90,4.7,52,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
The Law Office of Jas Jordan,thefirmyoutrust.com,0,110,0,110,2.7,102,57,107,43,61,5,74,0,burns law pllc,0,54,premises liability in texas,0,43,pictures of a chemical burn,0,41,eyes burning after lash extensions,0,1,jordan law group,0,80,,,,,,,,,
The Law Offices of Glen F. Larson,glenlarsonlaw.com,1923,48,245,45,25,53,392,45,90,98,5,88,0,motorcycle accident lawyer austin,119,1,auto accident lawyer austin tx,108,4,austin motorcycle accident attorney,79,1,motorcycle accident attorney austin,79,1,austin motorcycle accident lawyer,79,1,,,,,,,,,
The Lowell Stanley Firm,theinjurylawyer.com,221,79,31,80,2.8,98,140,83,88,87,4.7,560,0,lowell the hammer stanley,384,1,the hammer stanley lawyer,168,1,lowell stanley,112,1,lowell stanley attorney,88,1,lowell hammer stanley,56,1,,,,,,,,,
The Mance Law Firm,mancelawfirm.com,5,104,1,103,0,115,49,108,41,42,4.3,22,1,mance law firm,17,1,the mance law firm,12,1,chadrick mance,3,2,chad mance,3,2,savannah pedestrian accident lawyer,0,63,"Worst law firm in the state, perhaps in the entire country. Secretary or whoever loves to send out emails has such an attitude and overall the entire firm is unprofessional with communication. Avoid this place like the plague.",2025-07-23T15:19:05.037Z,frank miller,,,,,,
The Mike Morse Law Firm,855mikewins.com,29973,7,1881,7,66,2,2317,4,38,86,4.9,7079,11,mike morse law firm,3520,1,mike morse law,2320,1,mike morse injury law firm,1920,1,mike morse law firm michigan,1280,1,mike morris law firm,704,1,"Sorry wasn’t impressed at all with this law firm. Lead me on for over a year. Telling me I had a strong case, then tried to send it out to another firm. During this whole process no guidance very poor communication from the attorney",2025-07-23T22:33:02.002Z,J Amalfitano,"I went through Mike Morse they got a settlement and I received pennies off of the settlement when it was time to pay out to me the lawyer I was working they said she quit and so the check I was supposed to get for 140,000.00 I got nothing and out of the first they received 90,000.00 I got 110,000.00 out of 250,000.00 they will srew you and try to fast talk you and act like you don't know anything so be careful when dealing with them I asked to be in on the court they don't let you go to court lawyers flirt with judges and other lawyers a VERY VERY BAD PLACE",2025-07-15T00:08:48.639Z,E Images,"**WARNING!"" Call Sam! These slimmy crooks wasted my time and gave me a nurse case manager that had no clue how to deal with someone with a head injury. (MITTEN CARE) I was coherenced into signing documents with uniformed consent. This was due to the fact I had pre-existing and accident related brain injuries.
 I was a victim of a negligent driver without insurance unbeknownst to me at the time...BECAUSE I HAD A HEAD INJURY!! I called an attorney because I was afraid of the insurance company and the claim I needed to file. Knowing I was injured and this was a life long injury I wanted the best to represent me while dealing with the scary insurance company. I had a valid full coverage policy with Progressive but sadly, coming from an at fault physical state of car insurance, I was unaware you need to check the uninsured motorist box. (Disclaimer: please do not hold me liable to my opinion with my expression of the preception of the events. I am no way trying to slander these companies. I am using this platform to express just that an opinion which I believe is still legal. If not, i apologize for being uninformed.)
 Being Michigan is one of the idiot states to have no-fault insurance laws which allows only for get something for nothing uninsured scammers to collect from us law abiding citizens, I called this attorney for help. They helped me to understand that since the young at fault woman who struck me from behind while I was at a complete stop before the hours of 0700 did not have car insurance thus a recovery source for them I am a pee on.
 So months later, now with neck, back, and Brain injury, I am being investigated by my own insurance company now as to whether or not they should pay for my injuries sustained in my not at fault car accident. It has costed me thousands of dollars out of pocket to seek less than satisfactory medical care directed by ""mitten careless"" who ironically was one of the few providers who did get paid. However, Rubix brain training, Cousineau Chiropractic, Vision Specialist of Michigan offered me the best care possible and deserves 👏 😄. Insane how less invasive modalities offer the most relief...unlike your insurance company 👀 keep your head down.. wish me luck fellow not at fault insured motorist Godspeed",2025-07-07T12:28:53.845Z,Linda HD
The Moore Law Group,moorelawllc.com,89,87,15,88,1.6,106,111,89,58,51,4.7,50,0,john moore attorney,42,1,john moore attorney at law,34,1,the moore law group,34,1,moore law firm,19,8,the moore law group reviews,9,1,,,,,,,,,
